osm_key,osm_type,osm_id,name,latitude,longitude,stop_type,operator,network,tags_json
node/1437133498,node,1437133498,Titurga,56.8835385,24.1474038,bus_stop,,,"{""bench"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Titurga"", ""public_transport"": ""platform"", ""shelter"": ""yes""}"
node/1437133499,node,1437133499,Ziepniekkalna iela,56.914021,24.1214602,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""check_date:shelter"": ""2024-10-12"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Ziepniekkalna iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no""}"
node/1437133500,node,1437133500,Ziepniekkalna iela,56.9150689,24.1227781,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Ziepniekkalna iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""tram"": ""no""}"
node/1437138203,node,1437138203,Bišumuiža,56.9140272,24.1414953,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""no"", ""name"": ""Bišumuiža"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no""}"
node/1437157206,node,1437157206,Doles iela,56.9158728,24.1344381,tram_stop,,,"{""name"": ""Doles iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157208,node,1437157208,Mazā Bauskas iela,56.9157455,24.1242393,tram_stop,,,"{""name"": ""Mazā Bauskas iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157209,node,1437157209,Mazā Stērstu iela,56.9136884,24.1170416,tram_stop,,,"{""name"": ""Mazā Stērstu iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157213,node,1437157213,Skaistkalnes iela,56.917882,24.1035414,tram_stop,,,"{""name"": ""Skaistkalnes iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157214,node,1437157214,Stērstu iela/CSDD,56.9149184,24.112408,tram_stop,,,"{""name"": ""Stērstu iela/CSDD"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157215,node,1437157215,Stērstu iela/CSDD,56.9151091,24.1118847,tram_stop,,,"{""name"": ""Stērstu iela/CSDD"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157220,node,1437157220,Ziepniekkalna iela,56.9140438,24.1214473,tram_stop,,,"{""name"": ""Ziepniekkalna iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437157221,node,1437157221,Ziepniekkalna iela,56.9150384,24.122952,tram_stop,,,"{""name"": ""Ziepniekkalna iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437604861,node,1437604861,Aleksandra Čaka iela,56.9525116,24.1313132,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Aleksandra Čaka iela"", ""name:etymology"": ""Aleksandrs Čaks"", ""name:etymology:wikidata"": ""Q620387"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1437604867,node,1437604867,Aleksandra Čaka iela,56.9534644,24.1298844,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""no"", ""highway"": ""bus_stop"", ""lit"": ""no"", ""name"": ""Aleksandra Čaka iela"", ""name:etymology"": ""Aleksandrs Čaks"", ""name:etymology:wikidata"": ""Q620387"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1437604870,node,1437604870,Avotu iela,56.9506292,24.1347136,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""disused"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Avotu iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1437604871,node,1437604871,Avotu iela,56.9513455,24.1337135,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""disused"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Avotu iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1437604872,node,1437604872,Tērbatas iela,56.9526688,24.1159645,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Tērbatas iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes"", ""wheelchair"": ""yes""}"
node/1437604874,node,1437604874,Krišjāņa Barona iela,56.9549811,24.1271376,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Krišjāņa Barona iela"", ""name:etymology"": ""Krišjānis Barons"", ""name:etymology:wikidata"": ""Q284106"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/1437604875,node,1437604875,Krišjāņa Barona iela,56.9551826,24.1265075,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Krišjāņa Barona iela"", ""name:etymology"": ""Krišjānis Barons"", ""name:etymology:wikidata"": ""Q284106"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/1437604876,node,1437604876,Blaumaņa iela,56.9548045,24.1233863,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""no"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Blaumaņa iela"", ""name:etymology:wikidata"": ""Q1355709"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1437604877,node,1437604877,Valmieras iela,56.9474385,24.1405241,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""name"": ""Valmieras iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/1437733021,node,1437733021,Dammes iela,56.9609557,24.0141062,tram_stop,,,"{""name"": ""Dammes iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733022,node,1437733022,Bebru iela,56.9569102,24.0348521,tram_stop,Rīgas satiksme,,"{""name"": ""Bebru iela"", ""operator"": ""Rīgas satiksme"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733023,node,1437733023,Dammes iela,56.9613067,24.0137844,tram_stop,,,"{""name"": ""Dammes iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733027,node,1437733027,Imantas iela,56.9575761,24.0266594,tram_stop,,,"{""name"": ""Imantas iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733028,node,1437733028,Imantas iela,56.9576058,24.0264989,tram_stop,,,"{""name"": ""Imantas iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733029,node,1437733029,Jūrmalas gatve,56.9525821,24.0348367,tram_stop,,,"{""name"": ""Jūrmalas gatve"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733030,node,1437733030,Kleistu iela,56.9598903,24.0202488,tram_stop,,,"{""name"": ""Kleistu iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733032,node,1437733032,Kleistu iela,56.960076,24.019697,tram_stop,,,"{""name"": ""Kleistu iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733033,node,1437733033,Kurzemes prospekts,56.952628,24.0350409,tram_stop,,,"{""name"": ""Kurzemes prospekts"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1437733034,node,1437733034,Bebru iela,56.956798,24.0347135,tram_stop,,,"{""name"": ""Bebru iela"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/1439577947,node,1439577947,Burtnieku iela,56.9696823,24.1846385,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Burtnieku iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
