place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJ2zc12CIz6UYRpyY_uY8TNdM,Zaķu pagrieziens,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Ropaži parish, Ropaži Municipality, LV-2133, Latvia",Latvia,56.94131950000001,24.4063599,9G86WCR4+GG,"WCR4+GG Silakrogs, Ropaži parish, Ropaži Municipality, Latvia",,,,,,https://maps.google.com/?cid=15219092023777633959,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:34.887285
ChIJIQbIlrTc7kYRsgc5qH5rVuc,18. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98894,23.87672,9G85XVQG+HM,"XVQG+HM Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=16669629262490830770,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:35.047479
ChIJ9WBKOLTc7kYRwtfJLY6a0IQ,Paula Stradiņa iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9869,23.87278,9G85XVPF+Q4,"XVPF+Q4 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=9570319143606540226,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:35.205873
ChIJgWhWR7Tc7kYR-9o58cGx76E,Paula Stradiņa iela,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98698,23.87329,9G85XVPF+Q8,"XVPF+Q8 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=11668740606074149627,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:35.356449
ChIJT6hkI7bc7kYRpAtywdB9aQQ,12. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98521,23.86548,9G85XVP8+35,"XVP8+35 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=317923584258476964,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:35.520803
ChIJKWltmLTc7kYRYLGf-odyyFY,18. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98905999999999,23.8775,9G85XVQG+JX,"XVQG+JX Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=6253374010954854752,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:35.689755
ChIJD3He18nc7kYR2R_kkAEOF3k,12. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98498,23.86415,9G85XVM7+XM,"XVM7+XM Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=8725458202942250969,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:35.856958
ChIJjTTcYMjc7kYRuXxuqY17Bgo,Bulduri,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98385,23.85836,9G85XVM5+G8,"XVM5+G8 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",4.5,2.0,,,,https://maps.google.com/?cid=722400638602738873,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:36.040795
ChIJD3EKhcjc7kYR5wESET65kaA,Bulduri,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.98352,23.85654,9G85XVM4+CJ,"XVM4+CJ Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",4.7,6.0,,,,https://maps.google.com/?cid=11570232593917018599,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:36.209427
ChIJNSRKw0zD7kYRQEYE5GfOc1w,21. līnija,transport_hubs,"establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.99051,23.88394,9G85XVRM+6H,"XVRM+6H Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=6661895219413534272,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:23:36.360959
